Kantons-Nummer,Kanton,commune_id,Gemeinde,Stimmberechtigte,Ja in Prozent,Residents,Change in %,Population density per km²,Foreign nationals in %,0-19 years,20-64 years,65 years or over,Crude marriage rate,Crude divorce rate,Crude birth rate,Crude mortality rate,Private households,Size of households in persons,Total surface area in km2,Settlement and urban area in %,Change in ha,Agricultural area in %,Change in ha.1,Wooded area in %,Unproductive area in %,Employed total,Primary sector,Secondary sector,Tertiary sector,Business establishments total,Primary sector establishments,Secondary sector establishments,Tertiary sector establishments,Dwelling vacancy rate,New housing units per 1000 residents,Social assistance rate,FDP/PLR 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Small right-wing parties,stpf,snpstbetr,mean_stbetr,median_stbetr,gini_stbetr,mean_steink,median_steink,gini_steink,mean_steinka,median_steinka,gini_steinka,mean_reink,median_reink,gini_reink,mean_reinka,median_reinka,gini_reinka,lat,lon,ref622_ja_prozent
10,Fribourg / Freiburg,2111,Villaz-Saint-Pierre,796.0,22.6086956521739,1285.0,29.016064257,230.7001795332,21.55642023,23.42412451,62.6459144,13.92996109,6.3593004769,0.7949125596,7.1542130366,3.9745627981,502.0,2.46,5.53,13.3815551537,20.0,62.2061482821,-19.0,23.869801085,0.5424954792,424.0,37.0,225.0,162.0,79.0,18.0,20.0,41.0,2.5951557093,16.2469536962,3.7367993501,15.5050900548,21.0649960846,26.0375880971,27.9953014879,1.057165231,1.8794048551,0.8613938919,,4.7768206735,0.8222396241,517.0,0.533,1032.0,448.0,0.6449999809265137,63024.0,56100.0,0.28299999237060547,48985.0,46000.0,0.23800000548362732,71070.0,60000.0,0.30300000309944153,53845.0,51600.0,0.2240000069141388,,,42.2794117647059
14,Schaffhausen,2937,Neuhausen am Rheinfall,5385.0,54.4783629654479,10407.0,2.1796759941,1300.875,40.41510522,18.56442779,60.12299414,21.31257807,4.149978285,1.6406890894,9.361578922,11.1952902572,4872.0,2.09,8.06,32.1339950372,19.0,13.523573201,-20.0,50.8684863524,3.4739454094,5729.0,38.0,2017.0,3674.0,753.0,9.0,130.0,614.0,1.0807840264,1.1632415665,4.7111283443,11.9232856884,,32.4045594355,44.400217116,,,,,3.4195766238,3.6005066039,4481.0,6.104,1362.0,353.0,0.7789999842643738,61116.0,50100.0,0.3370000123977661,49404.0,42533.0,0.29499998688697815,67368.0,53800.0,0.3440000116825104,53564.0,47500.0,0.28299999237060547,47.683055555556,8.6166666666667,28.1141534901658
19,Aargau,4039,Remetschwil,1416.0,39.0820584144645,2104.0,4.2616451933,542.2680412371,15.01901141,21.86311787,62.88022814,15.25665399,4.3425814234,0.482509047,7.2376357057,6.2726176116,835.0,2.51,3.87,19.3798449612,24.0,57.3643410853,-21.0,23.2558139535,0.0,495.0,52.0,172.0,271.0,121.0,18.0,23.0,80.0,0.228050171,17.6384125429,1.1268985791,18.0255180527,10.8406479052,9.1575423039,37.3721835128,2.5880010859,6.8862546376,8.2797936838,,4.5878201068,0.8415528007,901.0,3.8280000000000003,4248.0,944.0,0.7860000133514404,100146.0,75300.0,0.4059999883174896,70647.0,55800.0,0.3490000069141388,109811.0,83500.0,0.4020000100135803,76439.0,62524.0,0.33000001311302185,47.410833333333,8.3319444444444,17.5925925925926
18,Graubünden / Grigioni / Grischun,3932,Tschiertschen-Praden,242.0,57.2727272727273,327.0,6.1688311688,11.7880317231,11.00917431,16.20795107,61.77370031,22.01834862,3.120124805,3.120124805,12.48049922,0.0,158.0,2.04,27.8,1.3309352518,10.0,46.726618705,-63.0,33.309352518,18.6330935252,124.0,18.0,12.0,94.0,39.0,9.0,7.0,23.0,0.3759398496,9.5541401274,1.9108280255,16.9696969697,6.8686868687,15.3535353535,25.4545454545,,5.0505050505,30.303030303,,,,160.0,0.124,778.0,363.0,0.6420000195503235,49643.0,47850.0,0.3580000102519989,39622.0,39833.0,0.3319999873638153,56835.0,50650.0,0.3240000009536743,44226.0,45517.0,0.29100000858306885,46.816666666667,9.6,23.2876712328767
22,Vaud,5604,Forel (Lavaux),1346.0,42.7215189873418,2075.0,6.5742167437,112.1015667207,18.93975904,22.1686747,62.69879518,15.13253012,4.8007681229,1.9203072492,8.6413826212,8.1613058089,870.0,2.38,18.49,7.8420767983,30.0,64.2509464575,-36.0,27.5824770146,0.3244997296,844.0,107.0,387.0,350.0,164.0,37.0,34.0,93.0,0.2100840336,7.1736011478,2.1520803443,34.9796472185,2.8132066938,15.196743555,26.9109000452,0.6241519674,2.7860696517,0.8050655812,0.9769335142,10.0045228403,0.0904568069,863.0,2.023,2344.0,722.0,0.7329999804496765,80403.0,65900.0,0.34599998593330383,59257.0,51467.0,0.28600001335144043,89829.0,71900.0,0.3499999940395355,65009.0,58444.0,0.27000001072883606,46.53788,6.76288,58.6715867158672
2,Bern / Berne,663,Frauenkappelen,947.0,35.8024691358025,1218.0,-3.6392405063,131.1087190527,9.688013136,16.99507389,61.65845649,21.34646962,4.1237113402,0.0,9.0721649485,4.1237113402,551.0,2.18,9.29,6.7814854682,5.0,42.1959095802,-9.0,41.0118406889,10.0107642626,526.0,62.0,333.0,131.0,97.0,19.0,26.0,52.0,1.3029315961,0.0,1.2427506214,9.3052525592,3.2052357778,13.8865581473,34.8296694076,3.0877664038,5.8147340158,17.5952340997,0.1090787045,8.1137774794,3.2555797953,587.0,1.123,1914.0,614.0,0.7229999899864197,74494.0,62200.0,0.32199999690055847,57175.0,50000.0,0.2669999897480011,81970.0,67300.0,0.328000009059906,61962.0,55000.0,0.2549999952316284,46.95535,7.33342,20.7977207977208
2,Bern / Berne,755,Worben,1691.0,47.0833333333333,2259.0,-0.0442477876,818.4782608696,10.09296149,18.63656485,59.09694555,22.2664896,3.5296712994,1.3236267373,6.6181336863,6.1769247739,1014.0,2.21,2.79,29.3906810036,15.0,62.3655913978,-15.0,7.5268817204,0.7168458781,834.0,66.0,162.0,606.0,106.0,10.0,23.0,73.0,4.9028677151,2.1987686895,2.8144239226,6.9891085531,0.8568626439,18.3193103804,36.8296082176,4.9037319981,4.6817736024,18.1747793321,0.0464564084,4.1965622258,3.9694420069,1004.0,1.393,1387.0,460.0,0.7200000286102295,66482.0,57500.0,0.30799999833106995,51848.0,45200.0,0.26899999380111694,73910.0,63100.0,0.3149999976158142,56615.0,50600.0,0.2540000081062317,47.10071,7.29652,21.9594594594595
3,Luzern,1143,Schötz,2822.0,22.8099173553719,4272.0,13.3457150438,279.7642436149,17.95411985,24.53183521,63.29588015,12.17228464,4.4933191439,1.6554333688,10.8785621379,8.9866382878,1709.0,2.47,15.39,10.7862248213,45.0,67.5763482781,-46.0,19.9480181936,1.689408707,1698.0,176.0,614.0,908.0,291.0,64.0,66.0,161.0,1.1982570806,10.0358422939,1.1230585424,17.0355039007,33.8799554211,5.9863079128,35.2810062092,0.4139468238,3.4469033593,0.7721700366,,2.7065753861,0.0955261901,1733.0,1.987,1146.0,348.0,0.7450000047683716,60801.0,51600.0,0.3059999942779541,47410.0,42400.0,0.2540000081062317,68766.0,55200.0,0.32100000977516174,52413.0,48238.0,0.23999999463558197,47.171111111111,7.9894444444444,15.9955257270694
22,Vaud,5554,Concise,649.0,39.4039735099338,961.0,23.3632862644,84.5206684257,15.60874089,22.78876171,59.83350676,17.37773153,3.1282586027,1.0427528676,8.3420229406,14.598540146,427.0,2.23,11.37,8.7950747581,39.0,24.4503078276,-26.0,66.4907651715,0.2638522427,180.0,64.0,22.0,94.0,70.0,10.0,11.0,49.0,4.4573643411,16.7189132706,2.4033437827,24.3097238896,2.581032413,16.8667466987,27.5710284114,1.1004401761,5.1620648259,2.8211284514,2.1208483393,11.0444177671,1.9407763105,429.0,0.754,1757.0,503.0,0.7369999885559082,69879.0,57600.0,0.3490000069141388,54198.0,47000.0,0.31299999356269836,77129.0,62400.0,0.3499999940395355,58836.0,52000.0,0.29499998688697815,46.851,6.7205,63.5338345864662
18,Graubünden / Grigioni / Grischun,3764,Valsot,687.0,42.2382671480145,876.0,-6.008583691,5.5108203322,8.333333333,19.17808219,56.84931507,23.97260274,1.1235955056,1.1235955056,1.1235955056,8.9887640449,369.0,2.37,159.16,0.9550138226,26.0,29.2849962302,-280.0,30.9751193767,38.7848705705,398.0,101.0,118.0,179.0,120.0,39.0,24.0,57.0,1.5625,2.2123893805,,13.6833731106,7.0007955449,25.5369928401,25.6165473349,,6.4439140811,21.7183770883,,,,366.0,0.39,1065.0,290.0,0.7620000243186951,57084.0,48300.0,0.3370000123977661,44659.0,39190.0,0.3100000023841858,64846.0,52350.0,0.33899998664855957,49525.0,44757.0,0.28700000047683716,46.83333,10.38334,33.1428571428571
